,Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action,Security,SEC filings,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded
29,TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"$221,417,923,660 ",0.21%,0,0,0,Analyze,Thermo Fisher Scientific,reports,Life Sciences Tools & Services,"Waltham, Massachusetts",8/3/04,97745,2006 (1902)
30,CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"$205,318,943,025 ",3.00%,0,0,0,Analyze,Cisco,reports,Communications Equipment,"San Jose, California",12/1/93,858877,1984
31,ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"$201,316,285,554 ",1.32%,0,0,0,Analyze,Accenture,reports,IT Consulting & Other Services,"Dublin, Ireland",7/6/11,1467373,1989
32,MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"$200,244,692,073 ",2.05%,0,0,0,Analyze,McDonald's,reports,Restaurants,"Chicago, Illinois",6/30/70,63908,1940
33,DHR,Danaher Corp,Common stocks,Large cap,Health Care,"$199,854,880,207 ",0.35%,0,0,0,Analyze,Danaher Corporation,reports,Health Care Equipment,"Washington, D.C.",,313616,1969
34,TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"$188,875,039,083 ",0.00%,0,0,0,Analyze,T-Mobile US,reports,Wireless Telecommunication Services,"Bellevue, Washington",7/15/19,1283699,1994
35,ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"$188,183,917,752 ",1.73%,0,0,0,Analyze,Abbott,reports,Health Care Equipment,"North Chicago, Illinois",3/31/64,1800,1888
36,DIS,Walt Disney,Common stocks,Large cap,Communication Services,"$179,787,934,097 ",0.00%,0,0,0,Analyze,Disney,reports,Movies & Entertainment,"Burbank, California",6/30/76,1744489,1923
37,WFC,Wells Fargo,Common stocks,Large cap,Financials,"$178,597,708,389 ",2.33%,0,0,0,Analyze,Wells Fargo,reports,Diversified Banks,"San Francisco, California",6/30/76,72971,1852
38,NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"$173,331,600,000 ",1.09%,0,0,0,Analyze,"Nike, Inc.",reports,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/88,320187,1964
39,BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"$171,963,848,865 ",2.64%,0,0,0,Analyze,Bristol Myers Squibb,reports,Health Care Distributors,"New York City, New York",3/4/57,14272,1989
40,NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"$168,571,092,599 ",1.99%,0,0,0,Analyze,NextEra Energy,reports,Multi-Utilities,"Juno Beach, Florida",6/30/76,753308,1984 (1925)
41,LIN,Linde Plc,Common stocks,Large cap,Materials,"$166,734,440,962 ",1.38%,0,0,0,Analyze,Linde plc,reports,Industrial Gases,"Guildford, United Kingdom",7/1/92,1707925,1879
42,UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"$164,498,784,470 ",3.13%,0,0,0,Analyze,United Parcel Service,reports,Air Freight & Logistics,"Sandy Springs, Georgia",7/22/02,1090727,1907
43,TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"$161,093,978,880 ",2.61%,0,0,0,Analyze,Texas Instruments,reports,Semiconductors,"Dallas, Texas",,97476,1930
44,VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"$160,979,002,744 ",6.57%,0,0,0,Analyze,Verizon,reports,Integrated Telecommunication Services,"New York City, New York",11/30/83,732712,1983 (1877)
45,ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"$159,976,739,000 ",0.00%,0,0,0,Analyze,Adobe Inc.,reports,Application Software,"San Jose, California",5/5/97,796343,1982
46,PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"$158,833,728,170 ",4.80%,0,0,0,Analyze,Philip Morris International,reports,Tobacco,"New York City, New York",3/31/08,1413329,2008 (1847)
47,MS,Morgan Stanley,Common stocks,Large cap,Financials,"$157,180,175,967 ",3.13%,0,0,0,Analyze,Morgan Stanley,reports,Investment Banking & Brokerage,"New York City, New York",,895421,1935
48,CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"$156,510,625,493 ",2.90%,0,0,0,Analyze,Comcast,reports,Cable & Satellite,"Philadelphia, Pennsylvania",11/19/02,1166691,1963
49,COP,ConocoPhillips,Common stocks,Large cap,Energy,"$153,341,505,382 ",3.59%,0,0,0,Analyze,ConocoPhillips,reports,Oil & Gas Exploration & Production,"Houston, Texas",3/4/57,1163165,2002
50,AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"$152,571,638,164 ",2.68%,0,0,0,Analyze,Amgen,reports,Biotechnology,"Thousand Oaks, California",1/2/92,318154,1980
51,SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"$148,409,067,181 ",1.02%,0,0,0,Analyze,Charles Schwab Corporation,reports,Investment Banking & Brokerage,"Westlake, Texas",6/2/97,316709,1971
52,CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"$147,000,000,000 ",0.00%,0,0,0,Analyze,Salesforce,reports,Application Software,"San Francisco, California",9/15/08,1108524,1999
53,RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"$146,271,047,113 ",2.15%,0,0,0,Analyze,Raytheon Technologies,reports,Aerospace & Defense,"Waltham, Massachusetts",,101829,1922
54,HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"$146,156,130,014 ",1.80%,0,0,0,Analyze,Honeywell,reports,Industrial Conglomerates,"Charlotte, North Carolina",3/31/64,773840,1906
55,QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"$142,154,010,000 ",2.29%,0,0,0,Analyze,Qualcomm,reports,Semiconductors,"San Diego, California",,804328,1985
56,NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"$140,026,927,786 ",0.00%,0,0,0,Analyze,Netflix,reports,Movies & Entertainment,"Los Gatos, California",12/20/10,1065280,1997
57,T,AT&T Inc.,Common stocks,Large cap,Communication Services,"$136,824,700,000 ",6.23%,0,0,0,Analyze,AT&T,reports,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30 (1957-03-04),732717,1983 (1885)
58,IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"$134,859,488,305 ",4.34%,0,0,0,Analyze,IBM,reports,IT Consulting & Other Services,"Armonk, New York",3/4/57,51143,1911
59,LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"$133,748,558,177 ",1.70%,0,0,0,Analyze,Lowe's,reports,Home Improvement Retail,"Mooresville, North Carolina",2/29/84,60667,1904/1946/1959
60,CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"$133,564,736,605 ",2.15%,0,0,0,Analyze,CVS Health,reports,Health Care Services,"Woonsocket, Rhode Island",3/4/57,64803,1996
61,DE,Deere & Company,Common stocks,Large cap,Industrials,"$133,346,930,730 ",0.98%,0,0,0,Analyze,John Deere,reports,Agricultural & Farm Machinery,"Moline, Illinois",3/4/57,315189,1837
62,UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"$132,753,936,744 ",2.28%,0,0,0,Analyze,Union Pacific Corporation,reports,Railroads,"Omaha, Nebraska",3/4/57,100885,1862
63,GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"$129,971,341,220 ",2.33%,0,0,0,Analyze,Goldman Sachs,reports,Investment Banking & Brokerage,"New York City, New York",7/22/02,886982,1869
64,LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"$126,762,555,163 ",2.34%,0,0,0,Analyze,Lockheed Martin,reports,Aerospace & Defense,"Bethesda, Maryland",7/31/84,936468,1995
65,ELV,"Elevance Health, Inc.",Common stocks,Large cap,Health Care,"$126,060,364,524 ",0.73%,0,0,0,Analyze,Elevance Health,reports,Managed Health Care,"Indianapolis, Indiana",7/25/02,1156039,2014 (1946)
66,AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"$124,925,355,432 ",0.00%,0,0,0,Analyze,AMD,reports,Semiconductors,"Santa Clara, California",,2488,1969
67,INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"$123,108,410,000 ",4.81%,0,0,0,Analyze,Intel,reports,Semiconductors,"Santa Clara, California",12/31/76,50863,1968
68,CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"$122,655,280,880 ",1.94%,0,0,0,Analyze,Caterpillar Inc.,reports,Construction Machinery & Heavy Trucks,"Irving, Texas",3/4/57,18230,1925
69,SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"$120,739,140,000 ",0.91%,0,0,0,Analyze,S&P Global,reports,Financial Exchanges & Data,"New York City, New York",,64040,1917
70,SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"$118,648,086,000 ",1.91%,0,0,0,Analyze,Starbucks,reports,Restaurants,"Seattle, Washington",6/7/00,829224,1971
71,AXP,American Express,Common stocks,Large cap,Financials,"$117,689,149,620 ",1.26%,0,0,0,Analyze,American Express,reports,Consumer Finance,"New York City, New York",6/30/76,4962,1850
72,INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"$116,884,610,375 ",0.68%,0,0,0,Analyze,Intuit,reports,Application Software,"Mountain View, California",12/5/00,896878,1983
73,ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"$111,153,100,704 ",1.54%,0,0,0,Analyze,ADP,reports,Data Processing & Outsourced Services,"Roseland, New Jersey",3/31/81,8670,1949
74,GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"$110,248,033,976 ",3.24%,0,0,0,Analyze,Gilead Sciences,reports,Biotechnology,"Foster City, California",7/1/04,882095,1987
75,BLK,Blackrock Inc,Common stocks,Large cap,Financials,"$108,468,241,798 ",2.59%,0,0,0,Analyze,BlackRock,reports,Asset Management & Custody Banks,"New York City, New York",4/4/11,1364742,1988
76,PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"$108,092,501,367 ",2.54%,0,0,0,Analyze,Prologis,reports,Industrial REITs,"San Francisco, California",7/17/03,1045609,1983
77,MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"$105,335,398,153 ",3.27%,0,0,0,Analyze,Medtronic,reports,Health Care Equipment,"Dublin, Ireland",10/31/86,1613103,1949
78,BA,Boeing,Common stocks,Large cap,Industrials,"$104,380,127,287 ",0.00%,0,0,0,Analyze,Boeing,reports,Aerospace & Defense,"Chicago, Illinois",3/4/57,12927,1916
79,AMT,American Tower Corporation,REITs,Large cap,Real Estate,"$103,038,519,944 ",2.55%,0,0,0,Analyze,American Tower,reports,Specialized REITs,"Boston, Massachusetts",11/19/07,1053507,1995
80,CI,Cigna Corp,Common stocks,Large cap,Health Care,"$98,891,280,844 ",1.34%,0,0,0,Analyze,Cigna,reports,Managed Health Care,"Bloomfield, Connecticut",6/30/76,1739940,1982
81,ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"$97,000,530,619 ",0.00%,0,0,0,Analyze,Intuitive Surgical,reports,Health Care Equipment,"Sunnyvale, California",6/2/08,1035267,1995
82,GE,General Electric,Common stocks,Large cap,Industrials,"$93,160,885,616 ",0.37%,0,0,0,Analyze,General Electric,reports,Industrial Conglomerates,"Boston, Massachusetts",,40545,1892
83,MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"$92,984,964,210 ",2.09%,0,0,0,Analyze,Mondelez International,reports,Packaged Foods & Meats,"Chicago, Illinois",10/2/12,1103982,2012
84,C,Citigroup Inc,Common stocks,Large cap,Financials,"$92,542,829,842 ",4.20%,0,0,0,Analyze,Citigroup,reports,Diversified Banks,"New York City, New York",5/31/88,831001,1998
85,TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"$92,139,900,841 ",1.43%,0,0,0,Analyze,TJX Companies,reports,Apparel Retail,"Framingham, Massachusetts",9/30/85,109198,1987
86,AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"$92,061,706,433 ",0.95%,0,0,0,Analyze,Applied Materials,reports,Semiconductor Equipment,"Santa Clara, California",3/16/95,6951,1967
87,SYK,Stryker Corp,Common stocks,Large cap,Health Care,"$91,114,574,005 ",1.15%,0,0,0,Analyze,Stryker Corporation,reports,Health Care Equipment,"Kalamazoo, Michigan",12/12/00,310764,1941
88,CB,Chubb Ltd,Common stocks,Large cap,Financials,"$90,613,775,820 ",1.48%,0,0,0,Analyze,Chubb Limited,reports,Property & Casualty Insurance,"Zurich, Switzerland",7/15/10,896159,1985
89,PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"$89,526,377,794 ",0.00%,0,0,0,Analyze,PayPal,reports,Data Processing & Outsourced Services,"San Jose, California",7/20/15,1633917,1998
90,ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"$87,334,067,963 ",1.32%,0,0,0,Analyze,Analog Devices,reports,Semiconductors,"Wilmington, Massachusetts",10/12/99,6281,1965
91,NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"$85,971,200,000 ",0.00%,0,0,0,Analyze,ServiceNow,reports,Systems Software,"Santa Clara, California",11/21/19,1373715,2003
92,MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"$85,824,524,823 ",1.29%,0,0,0,Analyze,Marsh McLennan,reports,Insurance Brokers,"New York City, New York",8/31/87,62709,1905
93,MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"$84,250,034,772 ",7.51%,0,0,0,Analyze,Altria,reports,Tobacco,"Richmond, Virginia",3/4/57,764180,1985
94,EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"$82,786,524,000 ",1.06%,0,0,0,Analyze,The Estée Lauder Companies,reports,Personal Products,"New York City, New York",1/5/06,1001250,1946
95,EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"$82,551,719,768 ",2.08%,0,0,0,Analyze,EOG Resources,reports,Oil & Gas Exploration & Production,"Houston, Texas",11/2/00,821189,1999
96,VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$82,336,350,144 ",0.00%,0,0,0,Analyze,Vertex Pharmaceuticals,reports,Biotechnology,"Cambridge, Massachusetts",9/23/13,875320,1989
